Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Jasione (Jasione),"<p>Jasione is a genus of <strong>about 15 species</strong> of flowering plants in the <strong>family Campanulaceae</strong>, native to Europe and Middle East. The most popular species are Jasione Montana and Jasione Laevis.<br/>
These plants have spherical, pincushion-like flowers, subtended by involucral bracts. They are good as cut flowers, in borders or rock gardens.</p>","Annuals, Perennials","The flowers are blue or purple in color,",4-9,"Spring, Autumn, Summer",Jasione can grow up to 50 cm (2 ft) in height.,This plant needs well drained soil. It is not fussy about soil pH,"Full sun, Partial sun",avarage,low
Jasminum (Jasmine),"<p>Jasminum, commonly called Jasmine, is a genus of <strong>about 200 species</strong> in the <strong>family Oleaceae</strong>, native to tropical and subtropical climates of Eurasia, Australasia and Oceania.<br/>
Jasmine is a climbing, deciduous shrub that is grown mainly for its star-shaped, fragrant flowers. The flowers are white in most species, with some species being yellow. It’s a very popular flower, especially because of its unique, strong and sweet fragrance. It is great for any garden or landscape.</p>","Climbers, Shrubs",Most of the Jasmine species bear white or pale yellow flowers.,6-11,"Spring, Summer","Growing approximately 30-60 cm (1-2 ft) per year, Jasmines can reach 150 cm (5 ft) tall as a shrub and over 10 m (33 ft) as a vine.","Jasmine likes fertile and moist, but well drained soil. The ideal soil pH is between 6.0 and 7.5.","Full sun, Partial sun",low,low
Justicia (Jacobinia),"<p>Justicia is a large genus of <strong>about 600 species</strong> of evergreen perennials and shrubs in the <strong>family Acanthaceae</strong>, native to Americas, Africa and India.<br/>
Justicia has unusual spikes of tubular flower clusters, and leaves which are often strongly veined. This attractive shade-loving plant is easy to grow and easy to propagate.</p>","Perennials, Shrubs","Justicia comes in shades of red, orange, pink, yellow, white and cream.",8-12,Summer,"The smaller types grow in mounds about 50 cm (2 ft) high, while others are more shrublike and grow up to 2,5 metres (8 ft) tall.","Justicia prefers well drained, acidic to neutral soil.","Partial sun, Shade",avarage,low
Kalanchoe (Kalanchoe),"<p>Kalanchoe is a genus of <strong>about 125 species</strong> of succulent flowering plants native to Madagascar, a large island in the Indian Ocean off the southeast coast of Africa. They belong to the <strong>family Crassulaceae</strong> and most of them are shrubs and perennial herbaceous plants.<br/>
Kalanchoes are known for their large thick leaves and showy, colorful blooms. They are available in a wide range of sizes, shapes and colors.</p>","Cactus - Succulents, Perennials, Shrubs","Kalanchoe comes in a variety of colors, including orange, pink, red, white and many variations thereof.",9-11,"Spring, Autumn, Winter, Summer","Most species are less than 1 m (3 ft), with the exception of Kalanchoe beharensis from Madagascar which can reach the height of 6 m (20 ft).","These plants do best in well drained soil, with a pH level between 5.0 and 6.5.","Full sun, Partial sun",low,low
Kalmia (Spoonwood),"<p>Kalmia is a genus composed of<strong> about 10 species</strong> in the <strong>family Ericaceae</strong>, which are found in North America.<br/>
These evergreen shrubs produce attractive leathery leaves and clusters of showy, beautiful bowl-shaped flowers. Kalmias are well-known ornamentals and popular garden plants.</p>",Shrubs,"The flowers are usually pink, purple, lavender or white.",4-9,"Spring, Summer",These plants range from 25 cm (1 ft) to 5 metres (16 ft) in height.,"The plant prefers moist, well drained and acidic soil.","Full sun, Partial sun",avarage,low
Kerria (Japanese kerria; Japanese rose),"<p>Kerria is a genus of <strong>one species – Kerria japonica</strong>, in the <strong>family Rosaceae</strong>, found in the East Asia.<br/>
Kerria japonica is a spring-flowering deciduous shrub that produces 5-petaled, bright yellow flowers and sharply toothed leaves. Although the primary bloom period is spring, it still blooms sporadically throughout the summer, creating a colorful show.</p>",Shrubs,These flowers are bright yellow in color.,4-9,"Spring, Summer",Kerria grows up to 3 metres (10 ft) in height.,"Kerria japonica grows best in moist, well drained and slightly acidic soil.",Partial sun,avarage,low
Kniphofia (Red Hot Pokers; Torch Lily; Tritoma),"<p>Kniphofia is a genus of <strong>about 70 species</strong> of flowering plants in the <strong>family Asphodelaceae</strong>, native to Africa and Middle East.<br/>
Kniphofias have large, narrow, grass-like leaves and dense spikes of small, tubular flowers that bloom from early spring to autumn. When in bloom, the flowers produce an abundance of nectar, which attracts bees and butterflies. They are great garden plants, but can also be grown in pots and containers.</p>",Perennials,"Kniphofia blooms in shades of red, orange, yellow and cream. They change color as the flower matures, which results in a bicolor look.",5-10,"Spring, Autumn, Summer",Kniphofia grows up to 2 metres (7 ft) high.,"The plant will grow in moist and well drained soil that is neutral, alkaline or acidic.",Full sun,avarage,low
Kolkwitzia (Beauty Bush),"<p>Kolkwitzia is a genus of only <strong>one species – Kolkwitzia amabilis</strong>, a deciduous shrub originated in China. Kolkwitzia is a member of the <strong>Caprifoliaceae family</strong>, also known as the honeysuckle family.<br/>
It produces clusters of bell-shaped, white or pink flowers with a yellow throat, and opposite dark green leaves. This beautiful and adaptable beauty is perfect for any garden!</p>",Shrubs,"The flowers are soft pink to white, each with a yellow troat.",4-8,"Spring, Summer",Kolkwitzia amabilis grows up to 3 metres (10 ft) in height.,"The plant prefers fertile and moist, but well drained soil. It can tolerate acid to alkaline soil, with a pH between 5.0 and 8.0.","Full sun, Partial sun",avarage,low
Kunzea (Kunzea),"<p>Kunzea is a genus of <strong>about 40 species</strong> of shrubs and small trees in the <strong>family Myrtaceae</strong>, native to Australia and New Zealand.<br/>
Kunzea flowers are arranged in clusters and have five petals, five sepals and a large number of stamens. The flowers, which are rich in nectar, attract beneficial insects and nectar loving birds.</p>","Shrubs, Trees","Kunzea flowers come in various colors including white, yellow, pink, purple and red.",7-10,"Autumn, Winter, Summer",They range in size from small ground covers to 10 metre (32 ft) trees.,"Kunzeas prefer moist and well drained soil, but will grow in a variety of soils with a pH range of 6.0 to 8.0.","Full sun, Partial sun",avarage,low
Lantana (Shrub Verbena),"<p>Lantana is a genus of <strong>more than 150 species</strong> of flowering plants in the<strong> family Verbenaceae</strong>, native to tropical areas of South Africa and America.<br/>
The plant grows as an evergreen or deciduous shrub and blooms in beautiful and vibrant colors all season long, changing the intensity of colors as the flower matures. Lantana produces many individual tubular-shaped flowers in clusters, with four petals each. These bright, sun-loving plants are great in beds, borders, containers or as ground cover, where they will attract hummingbirds and butterflies.</p>","Annuals, Perennials, Shrubs","Lantana comes in a rainbow of colors including red, orange, pink, lavender, yellow, white or a mixture of these and will often display different colors in the center and on the edges.",8-11,"Spring, Autumn, Summer","The species range in size from 25 cm to 1,2 metres (10 inches to 4 ft) tall.","Lantana prefers moist, but well drained soil, with a pH between 6.5 and 7.5.",Full sun,avarage,low
Lathyrus (Sweet Pea ),"<p>Lathyrus, also known as Sweet Pea, is a genus of <strong>about 150 species</strong> in the <strong>family Fabaceae</strong>, mostly native to the mediterranean region.<br/>
The flowers of the plant are unique, usually with 5 petals that form a butterfly-shaped structure – one large banner petal, two horizontal petals and two lower petals. They are often fragrant and come in a rainbow of colors and patterns.</p>","Annuals, Climbers, Perennials","The flowers come in a wide variety of colors, including white, cream, yellow, red, scarlet, pink, salmon, magenta, purple, lavender and blue.",2-11,"Spring, Autumn, Summer","The species range from 30 cm (1 ft) to 280 cm (9 ft) tall, depending on variety.","The plant grows in moist and well drained soil and will survive in acid, alkaline and neutral soil.",Full sun,avarage,low
Lavandula (Lavender),"<p>Lavandula is a genus of <strong>about 50 species</strong> of flowering plants in the <strong>family Lamiaceae</strong>, native to Mediterranean.<br/>
The plant produces gray-green foliage and purple or blue flowers in blunt spikes on long stems. Its beautiful scent attracts many pollinators and hummingbirds. Lavender is famous for its beauty, fragrance and healing properties, although it is best known as an aromatic plant.</p>","Herbs, Perennials, Shrubs","Lavender comes in a wide range of purple colors, but also can be found in white, pink and blue.",5-10,"Spring, Autumn, Summer",Lavender grows from 30 to 90 cm (1 to 3 ft) tall.,This plant will do best in well drained soil that is neutral to slightly alkaline. The ideal pH level is somewhere between 6.5 and 7.5.,Full sun,low,medium
Leontopodium (Edelweiss),"<p>Leontopodium is a genus of <strong>about 40 species</strong> of perennials in the <strong>family Asteraceae</strong>, native to Europe and Asia. These plants can be found in many challenging environments, usually growing in limestone soil on mountain meadows at altitudes between 1500 and 3000 m.<br/>
The true flowers are short lived, yellow and tiny, surrounded by white petals that form a star-like formation. They bloom from late spring to early autumn and are easy to care for.</p>",Perennials,"This plant has small, yellow clustered florets.",4-9,"Spring, Autumn, Summer",The plant reaches about 30 cm (1 ft) in height.,Leontopodium needs good drainage and pH between 6.5 and 7.5 (slightly alkaline to medium acidity).,"Full sun, Partial sun",avarage,low
Leucojum (Snowflake),"<p>Leucojum is a genus of only <strong>two species</strong> in the <strong>family Amaryllidaceae</strong> – Leucojum vernum and Leucojum aestivum, both native to Eurasia.<br/>
These bulbous perennials have grass-like foliage and pendulous, white and bell-shaped flowers, which are marked on all six petal tips with green or yellow-green marks. They are small, but very pretty and fragrant!</p>","Bulbs, Perennials",Leucojum has white flowers with faint green tips.,3-9,"Spring, Summer",Leucojum grows up to 60 cm (2 ft) high.,"These plants are not fussy about soil type, but they bloom best in a soil that is rich, moist and well-drained.","Full sun, Partial sun",avarage,low
Lewisia (Lewisia),"<p>Lewisia is a genus of <strong>about 20 species</strong> of perennials in the <strong>family Montiaceae</strong>, all native to western North America.<br/>
These low-growing plants are known for their attractive, fleshy leaves and large flowers in a variety of colors. The flowers are cup-shaped and have many petals. The most popular species are Lewisia cotyledon, also known as Cliff Maid, and Lewisia rediviva, commonly called Bitterroot.</p>",Perennials,"The flowers come in shades of white, pink, purple, orange and red.",3-8,"Spring, Autumn, Summer","Lewisia is a small plant, growing up to 30 cm (1 ft) in height.","Lewisia prefers moderately fertile and well drained soil, with a ph value between 5.0 and 8.0. It is drought tolerant and thrives in poor and dry soils.","Full sun, Partial sun",low,low
Liatris (Blazing Star; Gayfeather),"<p>Liatris is a genus of <strong>about 50 species</strong> of perennial plants in the <strong>family Asteraceae</strong>, native to North America, Mexico and Bahamas.<br/>
These prairie wildflowers have spiky or feathery flowers and long narrow leaves growing up along the stem. Liatris makes a beautiful appearance in late summer and early fall. It is an excellent choice for almost any garden.</p>",Perennials,"The flowers come in shades of purple, lavender, pink, white, rose and violet.",3-10,"Autumn, Summer",The plant grows up to 150 cm (5 ft) in height.,"Liatris will grow best in sandy or loamy soil, with a pH between 5.5 and 7.5. Plant Liatris in tough soil conditions with good drainage.",Full sun,avarage,low
Lilium (Lily),"<p>Lilium is a genus of <strong>about 100 species</strong> of bulbous perennials that come in different shapes and colors. The genus belongs to the <strong>family Liliaceae</strong> and is native to the northern hemisphere.<br/>
They are erect perennials with usually narrow leaves and flowers characterized by six petal-like segments (three petals in addition to three sepals) which may form the shape of a trumpet. Most of them are elegant, bright colored and fragrant. Throughout history, Lilium has been a powerful symbol in cultures around the world.</p>","Bulbs, Perennials","Lilies come in a large variety of colors and the most common are white, yellow, orange and red.",3-9,"Spring, Autumn, Summer","Some species are small, about 30 cm or 1 ft (such as Dwarf Asiatic Lilies), while others can reach a height of 270 cm or 9 ft (Lilium Superbum).",Most Lilies prefer moist and well drained soil and they will perform best in soil that is slightly acidic.,"Full sun, Partial sun",avarage,low
Limonium (Sea Lavender; Statice),"<p>Limonium, also known as Sea Lavender, is a genus of <strong>about 120 species</strong> in the <strong>family Plumbaginaceae</strong>, native to the Mediterranean region and central Asia.<br/>
Limonium is a tall plant with a cluster of small flowers sitting atop sturdy stems. It comes in a wonderful range of colors and is easy to maintain. The flowers are widely used in fresh and dried flower arrangements, but are also beautiful in the garden.</p>","Annuals, Perennials, Shrubs","The flowers are blue, purple, pink, yellow or white.",3-11,"Spring, Summer",The plant grows up to 90 cm (3 ft) in height.,Limonium prefers rich and well-drained soil in full sun. It is not particular as to soil pH.,Full sun,low,low
Lobelia (Lobelia),"<p>Lobelia is a genus of <strong>more than 400 species</strong> in the <strong>family Campanulaceae</strong>, widely distributed all over the world.<br/>
Lobelia produces lovely flowers that attract butterflies, hummingbirds and beneficial insects. The flowers are comprised of five petals, the “upper lip” of two petals and a “lower lip” of three petals, all joined in a long nectar tube. The upper two petals are thin and upright, while the three lower petals are much larger and wider. Lobelia is a popular garden plant which enhances the beauty of any garden!</p>","Annuals, Perennials, Shrubs","The flowers come in shades of blue, white, pink, red and purple.",3-9,"Spring, Autumn, Summer","The plant ranges in height from 15 cm (6 inches) to 150 cm (5 ft), depending on species.","Lobelia prefers rich, moist and well drained soil, with a pH level from 6.0 to 7.5.","Full sun, Partial sun",avarage,low
Lonicera (Honeysuckle),"<p>Lonicera, commonly known as Honeysuckle, is a genus of <strong>about 100 species</strong> of shrubs and climbers in the <strong>family Caprifoliaceae</strong>, native to northern hemisphere.<br/>
Honeysuckle produces opposite, simple and oval leaves and colorful, trumpet-shaped or tube-shaped flowers. The flowers grow in clusters at the branch tips and come in various colors, from white to deep red. They are a popular nectar source for butterflies and bees, and most of them are heavily scented.</p>","Climbers, Shrubs","The flowers come in shades of white, yellow, pink, orange and red.",2-10,"Spring, Autumn, Winter, Summer",Honeysuckles range in height from 60 cm (2 ft) to 9 m (30 ft) tall.,"Some species prefer fertile, rich, moist and well-drained soil, while others will grow in any well-drained soil.","Full sun, Partial sun",avarage,low
Lupinus (Lupine; Lupin),"<p>Lupinus is a genus of <strong>about 500 species</strong> of flowering plants in the <strong>Fabaceae family</strong>, native to the Mediterranean, North Africa, Australasia and Americas. The genus contains both annual and perennial species.<br/>
These striking plants have stiff, erect flower spikes that emerge from horizontal foliage. The flowers are pea-like and grow in large, crowded racemes. They are perfect for attracting bees, hummingbirds and butterflies.</p>","Annuals, Perennials","The flowers are usually blue or purple, but sometimes pink, yellow and white.",4-8,"Spring, Summer","Lupinus grows from 30 cm to 1,5 m (1 to 5 ft) tall, depending on species.","Lupinus grows best in well drained, neutral to slightly acidic soil. The ideal pH is between 5.5 and 7.0.","Full sun, Partial sun",avarage,low
Lycoris (Spider Lily),"<p>Lycoris is a genus of <strong>about</strong> <strong>20 species</strong> of perennials in the <strong>family Amaryllidaceae</strong>, native to Eastern Asia, mainly China and Japan.<br/>
Most species have flowers with narrow, strap-like petals and long stamens that give them their spidery appearance. The flowers come in many colors and will bring cheer to everyone who sees them!</p>","Bulbs, Perennials","The flowers come in shades of red, pink, orange, white and yellow.",5-10,"Spring, Autumn, Summer",Lycoris grows up to 60 cm (2 ft) in height.,"The plant prefers soils that are rich and well-drained, with medium moisture. It is not fussy about the soil pH.","Full sun, Partial sun",avarage,low
Magnolia (Magnolia),"<p>Magnolia is a genus of <strong>more than 200 species</strong> in the <strong>family of Magnoliaceae</strong>. They are native to tropical, subtropical and temperate regions of Asia and Central America.<br/>
Growing as shrubs or trees, Magnolias are well known for their beautiful, showy and fragrant flowers and attractive, evergreen and glossy leaves. They are one of the loveliest garden plants!</p>","Shrubs, Trees","Magnolia produces white, purple, pink and yellow flowers, depending on variety.",4-9,"Spring, Summer","The trees can grow to a height of 20 metres (65 ft), while shrubs are smaller and are 2,5 to 6 metres (8-20 ft) high.","Magnolia grows best in rich, moist and well drained soil. They prefer acidic soil, but can tolerate clay, loam, or sand.","Full sun, Partial sun",avarage,low
Malva (Mallow),"<p>Malva, commonly known as Mallow, is a genus of <strong>about 30 species</strong> of herbaceous plants in the <strong>family Malvaceae</strong>, native to Europe, northern Africa and temperate Asia.<br/>
The plant produces beautiful, eye-catching, cup-shaped flowers in romantic shades. All Mallow flowers have five petals and vary in color from pink to purple and white. Mallow is a great border plant that will add color to any garden!</p>","Annuals, Perennials","The flowers are usually pink, purple and white.",3-10,"Spring, Autumn, Summer","This plant grows up to 150 cm (5 ft) in height, but most of the species are smaller than that.","Mallow likes rich and well-drained soil, even slightly dry and poor. Most species prefer neutral to slightly acidic pH.","Full sun, Partial sun",avarage,low
Mandevilla (Dipladenia; Rocktrumpet),"<p>Mandevilla is a genus of <strong>about 200 species</strong> of climbing perennials in the <strong>family Apocynaceae</strong>, mostly native to South America.<br/>
These tropical vines are one of the most versatile plants you can grow in your summer garden. Their beautiful, showy flowers bloom in various colors and shades and form a conspicuous contrast to the green foliage, adding a tropical flair to any landscape.</p>","Annuals, Climbers, Perennials","The flowers come in shades of red, pink, white and yellow.",9-11,"Spring, Autumn, Summer","The species can grow up to 6 metres (20 ft) in height, or even more.","Mandevilla prefers rich, sandy and well drained soil with organic material added.",Partial sun,avarage,medium
Mimosa (Mimosa),"<p>Mimosa is a large genus of about <strong>400 species </strong>in the <strong>family Fabaceae</strong>, native to tropical and subtropical areas throughout the world. Most of the species are herbs and undershrubs, but some are woody climbers or even trees.<br/>
Mimosas have round clusters of numerous flowers held on a single head. Each flower has long stamens forming a fluffy spherical head. Their beautiful leaves and clusters of fragrant flowers make them popular ornamentals.</p>","Annuals, Perennials, Shrubs, Trees","The flowers come in shades of pink, purple and white.",9-13,Summer,They can be found in various sizes and some (Mimosa pigra) may grow as large as 6 m (20 ft) tall.,Mimosa grows best in moist and well-drained loamy soil. The ideal soil pH is between 5.0 and 7.0.,"Full sun, Partial sun",avarage,medium
Monarda (Bee Balm; Bergamot),"<p>Monarda is a genus of <strong>about 20 species</strong> of flowering plants in the <strong>family Lamiaceae</strong>, native to North America.<br/>
Monarda grows in dense clusters with colorful, striking flowers that bloom in summer and early autumn, surrounded by leaf-like bracts. This plant is a good choice for perennial borders, cottage gardens and butterfly gardens. The flowers are magnets for pollinators such as butterflies, hummingbirds and bees.</p>",Perennials,"These flowers come in shades of red, pink, purple and white.",3-9,"Autumn, Summer","Different varieties vary in height from dwarf species barely 25 cm (10 inches) tall to ""giants"" that reach about 1,5 metres (5 ft) high.","Monarda prefers well drained soil, with a pH from 6.0 to 7.0.","Full sun, Partial sun",avarage,low
Muscari (Grape Hyacinth),"<p>Muscari is a genus of <strong>about 40 species</strong> of perennial bulbous plants in the <strong>Asparagaceae family</strong>, native to Eurasia.<br/>
Muscari produces urn-shaped spikes of fragrant flowers resembling bunches of grapes. These plants are easy to grow and are great for beds, borders and under shrubs or trees. They are excellent as cut flowers and especially as rock-garden plants.</p>",Bulbs,"These flowers are commonly blue. However, the white, pink and yellow types can also be found.",4-9,Spring,Muscari is a small plant that grows between 10 cm (4 inches) and 25 cm (10 inches) tall.,"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0.","Full sun, Partial sun",avarage,low
Myosotis (Forget Me Not; Scorpion Grass),"<p>Myosotis is a genus of <strong>about 50 species</strong> of perennials in the <strong>family Boraginaceae</strong>, native to Europe and Asia.<br/>
This beautiful plant has five petals and five sepals and is best seen from May through October. Its charming tiny flowers are mostly blue, but also occur in white and pink. Myosotis is great for garden beds, rock gardens or in containers. It will add color and texture to any garden!</p>",Perennials,"The flowers are usually blue, but may be pink or white, sometimes with a yellow center.",3-9,"Spring, Summer",Myosotis can reach about 30 cm (1 ft) in height.,"The plant performs best in rich, moist and well drained soil, with a pH between 5.5 and 7.5.","Full sun, Partial sun",avarage,low
Myrtus (Myrtle),"<p>Myrtus is a genus of <strong>three species</strong> in the <strong>family Myrtaceae </strong>– Myrtus Communis, Myrtus Nivellei and Myrtus phillyreifolia, all native to Mediterranean, northern Africa and western Asia<em>.<br/>
</em>These shrubs or small trees produce small, aromatic, glossy leaves and beautiful white flowers on short flower stalks in spring and summer. The flowers are usually small and contain five sepals and five petals. This popular plant is cultivated in ornamental purposes and as a source of aromatic oils.</p>","Shrubs, Trees",The flowers are most commonly white.,8-9,"Spring, Summer",Myrtle grows up to 6 metres (20 ft) in height.,Myrtle likes moist and well drained soil. The ideal pH value is between 6.0 and 8.0.,"Full sun, Partial sun",avarage,low
Narcissus (Daffodil),"<p>Narcissus is a genus of bulbous perennials in the <strong>Amaryllidaceae family</strong>. There are <strong>more than 100 species</strong> of this plant, which is native to Europe, Asia and North Africa.<br/>
Narcissi are usually white or yellow, with six petals (technically, “tepals” or “perianth segments”) and a trumpet-shaped central corona. They are some of the first to bloom in the early spring, announcing the end of winter. Narcissus is one of the most popular flowers in the world, mainly due to the well-known myth of the Greek youth who fell in love with himself.</p>","Bulbs, Perennials",These flowers are usually white and yellow.,3-9,Spring,"Some species can reach a height of 10 cm (4 inches), while others can grow up to 90 cm (3 ft) tall.","These plants prefer rich and moist, but well-drained soil and will grow best in soil that is neutral to slightly acidic (pH of 6.0 to 7.0).","Full sun, Partial sun",low,low
Nelumbo (Lotus),"<p>Nelumbo, commonly called Lotus, is a genus of aquatic plants containing only <strong>two species</strong> – Nelumbo nucifera and Nelumbo lutea, which belong to the <strong>Nelumbonaceae family</strong>. These plants are aquatic perennials native to tropical Asia and Australia (Nelumbo nucifera) and North America (Nelumbo lutea), growing in the mud of lagoons, lakes, swamps, ponds and waterlogged fields.<br/>
They have wide and disc-shaped leaves at or above the water surface, and beautiful flowers rising above the water. The flowers are large and usually found on thick stems. These beauties will attract birds and insects, as well as people!</p>",Perennials,"Nelumbo nucifera has white or pink flowers, while Nelumbo lutea has yellow ones.",4-10,"Spring, Summer","The leaves and flowers of Nelumbo nucifera are held on stems up to 2 metres (7 ft) tall. The Nelumbo lutea are almost the same size, ranging from 80 cm to 1,5 metres (3-5 ft) in height.",Both species need rich and loamy soil. The optimal soil pH is between 6.5 and 8.0.,Full sun,avarage,low
Nemesia (Nemesia),"<p>Nemesia is a genus of <strong>about 70 species</strong> of annuals, perennials and sub-shrubs in the <strong>family Scrophulariaceae</strong>, native to southern Africa. The most popular species are Nemesia strumosa, Nemesia caerulea and Nemesia fruticans.<br/>
Nemesia has lance-shaped, sometimes toothed leaves and pretty little flowers that bloom in a wide range of colors. Nemesia charms everyone with its colorful and long-lasting flowers! Some varieties are sweetly scented and quite beautiful. These plants can be used as edging plants, ground covers or hanging basket plants.</p>","Annuals, Perennials, Shrubs","These flowers come in shades of blue, purple, red, pink, orange, mauve, yellow, cream and white.",8-11,"Spring, Autumn, Winter, Summer",The half-inch flowers bloom on plants that grow up to 60 cm (2 ft) tall.,Nemesia likes moist and well drained soil. The ideal soil pH is between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low
Nemophila (Baby Blue Eyes),"<p>Nemophila is a genus of <strong>about 10 species</strong> of annuals in the <strong>family Boraginaceae</strong>, native to western North America.<br/>
Nemophila has delicate, five-petaled, cup-shaped flowers in shades of blue, white and purple. These gorgeous blooms will add color and visual interest to any landscape!</p>",Annuals,The flowers vary in color from a true blue to a definite purple.,2-11,"Spring, Winter","Nemophila is a small plant, rarely growing over 30 cm (1 ft) high.","The plant likes rich, moist and well drained soil. It prefers soil with a pH of 5.5 to 8.0.","Full sun, Partial sun",avarage,low
Nepeta (Catmint; Catnip; Cataria),"<p>Nepeta, commonly known as Catmint, is a genus of <strong>about 250 species</strong> of flowering plants, native to Europe, Asia and Africa. Nepeta belongs to the <strong>Lamiaceae family</strong>, known for its aromatic members.<br/>
These long-lived, extremely versatile and easy-to-grow perennials make a great addition to your garden. Their aromatic, gray-green leaves and beautiful flowers look great in borders and rock gardens. Because of its self-sufficiency and lack of problems, Nepeta is a good choice for beginner gardeners.</p>",Perennials,"Nepeta comes in shades of blue, purple, white and even pink and yellow.",3-9,"Spring, Autumn, Summer","Nepeta grows between 20 cm and 2 metres (8 inches to 7 ft) high, depending on variety.","Nepeta prefers moist and well drained soil, with a pH level between 5.5 and 7.0.","Full sun, Partial sun",low,low
Nerine (Guernsey Lily),"<p>Nerine is a genus of <strong>about 25 species</strong> of perennials in the <strong>family Amaryllidaceae</strong>, native to South Africa.<br/>
Nerine produces showy, lily-like flowers on long stems. These long-lasting flowers have beautiful curled petals in bright colors and will bloom from summer to fall. They are great for beds, rock gardens, borders and containers.</p>","Bulbs, Perennials","The flowers come in shades of pink, orange, red and white.",8-11,"Autumn, Summer",Nerine reaches 60 cm (2 ft) in height.,Nerine likes moist and well drained soil. It is not particular as to soil type or pH.,"Full sun, Partial sun",avarage,medium
Nerium (Oleander),"<p>Nerium is a genus of one species – <strong>Nerium oleander</strong> that is native to Europe and Asia. The plant belongs to the <strong>family Apocynaceae </strong>(the dogbane family), one of the largest plant families.<br/>
Oleander is an evergreen ornamental shrub or small tree with long, narrow, dark green leaves and brightly colored, five-petaled flowers. The flowers are either single or double and are often gathered in clusters. Oleander is a great garden plant because it is a long-term survivor and grows in a wide array of conditions. It is often planted for decorative purposes and many cultivars are widely available.</p>","Shrubs, Trees","The flowers come in shades of red, purple, pink, yellow, cream and white.",8-11,"Spring, Autumn, Summer",This plant can grow up to 6 meters (20 ft) high.,Oleander will grow in almost any soil and can tolerate drought and high salt content in soil. The ideal soil pH is between 6.5 and 7.5.,Full sun,avarage,low
Nigella (Love-in-a-mist; Devil-in-a-bush),"<p>Nigella is a genus of <strong>about 20 species</strong> in the <strong>family Ranunculaceae</strong>, native to Europe, North Africa and Asia.<br/>
The plant has beautiful, showy flowers surrounded by unusual, thread-like leaves. These attractive, charming and old-fashioned annuals will enchant you immediately!</p>",Annuals,"The flowers are blue, white and even yellow and pink.",2-10,"Spring, Autumn, Summer",Nigella grows between 20 cm (8 inches) and 90 cm (3 ft) in height.,The plant prefers good drainage and average soil with a pH value between 6.0 to 7.0.,"Full sun, Partial sun",avarage,low
Obregonia (Artichoke Cactus),"<p>Obregonia is a genus of only <strong>one species – Obregonia denegrii</strong>. Obregonia belongs to the <strong>Cactaceae family</strong> and is one of the rarest of living rock cactus. This slow-growing plant, native to northeast Mexico, occurs at an altitude of about 800 meters (2625 ft) above sea level.<br/>
The plant has solitary stem with large triangular tubercles in the shape of a rosette. It produces funnel-shaped, white or slightly pink flowers, with yellow stamens in the centre. Obregonia is among the most famous of all cacti and will definitely add sunshine and love to your home!</p>",Cactus - Succulents,"The flower colors are usually white or slightly pink, with yellow stamens.",9-12,Summer,"Obregonia is a small-sized plant, about 15 cm (6 inches) in height.",Obregonia performs best in well-drained soil with little organic material and neutral pH.,"Full sun, Partial sun",low,medium
Oenothera (Oenothera),"<p>Oenothera is a genus of <strong>about 100 species</strong> of herbaceous plants in the <strong>family Onagraceae</strong>, native to the Western Hemisphere.<br/>
Oenothera has simple or lobed leaves and fragrant, bowl-shaped flowers. It has four petals, four sepals and eight stamens. Oenotheras are versatile and can be used in a variety of landscape settings!</p>","Annuals, Perennials","Oenothera produces yellow, pink and white flowers.",3-7,"Spring, Autumn, Summer","The species vary in size from 15 cm to 2,5 metres (6 inches to 8 ft) high.",Oenothera prefers well-drained soil and will do well in poor soil.,"Full sun, Partial sun",avarage,low
Opuntia (Prickly Pear),"<p>Opuntia is a genus of <strong>about 200 species</strong> in the <strong>cactus family (Cactaceae)</strong>, native to North and South America, from Canada to Argentina.<br/>
Opuntias have a unique shape and structure. The green segments are not leaves, but swollen water-storing stem segments – cladodes. The flat surfaces of these cladodes are covered with areoles that have tiny spines called glochids. Evolutionarily speaking, the leaves are modified into spines to protect a plant against predators. The flowers are usually cup-shaped and yellow in color. Opuntias are attractive, easy to grow and excellent for any garden. They are one of the most beautiful plants in the cactus world!</p>",Cactus - Succulents,"These flowers are usually yellow, sometimes red and pink, but rarely white.",6-11,"Spring, Summer","Opuntias vary in height from 20 cm (8 inches) to giants that grow up to 4,5 metres (15 ft) in height.","Opuntia needs well-drained soil that is acid, alkaline or neutral.","Full sun, Partial sun",low,low
